chembank_id,cmap_name,chembank_name,match_distance,smiles
142,clofibrate,clofibrate,0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
3177249,MK-886,MK-886,0,CC(C)c1ccc2n(Cc3ccc(Cl)cc3)c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c2c1
1289,prednisolone,prednisolone,0,C[C@@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@]34C)C2CC[C@]1(O)C(=O)CO
370,thalidomide,thalidomide,0,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
3103903,genistein,genistein,0,Cc1ccc(cc1)C2=CCc3cc(C)cc(C)c3C2=C
29743,fludrocortisone,fludrocortisone,0,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
353,quercetin,QUERCETIN,0,Oc1cc(O)c2c(=O)c(O)c(oc2c1)c3ccc(O)c(O)c3
3652997,sulindac sulfide,sulindac sulfide,0,CSc1ccc(C=C2C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1
3177482,exisulind,exisulind,0,CC/1=C(CC(=O)O)c2cc(F)ccc2\C1=C/c3ccc(cc3)S(=O)(=O)C
3614739,fulvestrant,fulvestrant,0,C[C@@]12CC[C@H]3C([C@@H]2CC[C@@H]1O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34
50735,monastrol,monastrol,0,CCOC(=O)C1=C(C)NC(=S)NC1c1cccc(O)c1
3104896,staurosporine,staurosporine,0,CN[C@@H]1C[C@@]2(C)O[C@@H]([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35
3652996,NU-1025,NU-1025,0,Cc1nc(=O)c2cccc(O)c2[nH]1
31336,acetylsalicylic acid,acetylsalicylic acid,0,CC(=O)Oc1ccccc1C(O)=O
41,flufenamic acid,flufenamic acid,0,OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F
58915,N-phenylanthranilic acid,N-Phenylanthranilic acid,0,OC(=O)c1ccccc1Nc1ccccc1
3104696,sirolimus,sirolimus ,0,CO[C@@H]1CC(CC(C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)/[C@@H](O)[C@@H](OC)C(=O)[C@@H](C)C[C@H](C)/C=C/C=C/C=C(\C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1O
52135,arachidonyltrifluoromethane,arachidonyltrifluoromethane,0,CCCCC\C=C\C\C=C\C\C=C\C\C=C\CCCC(=O)C(F)(F)F
50777,trichostatin A,trichostatin A,0,C[C@H](\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C
915,diclofenac,diclofenac,0,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
1064991,mercaptopurine,mercaptopurine,0,Sc1ncnc2[nH]cnc12
110,nifedipine,nifedipine,0,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C
117,nitrendipine,nitrendipine,0,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC)C
3480329,felodipine,felodipine ,0,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C
1921128,azathioprine,azathioprine,0,Cn1cnc([N+](=O)[O-])c1Sc2ncnc3nc[nH]c23
30697,sodium phenylbutyrate,sodium phenylbutyrate,0,OC(=O)CCCc1ccccc1
3187886,novobiocin,novobiocin,0,CO[C@@H]1[C@H](OC(=O)N)C(O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
240,fasudil,fasudil,0,C1CNCCC(C1)Sc2cccc3cnccc23
347781,2-deoxy-D-glucose,2-deoxy-d-glucose,0,OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O
665,imatinib,imatinib,0,CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1
138,pirinixic acid,pirinixic acid,0,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C
1000093,rosiglitazone,rosiglitazone,0,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3
1000097,troglitazone,troglitazone,0,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
293,wortmannin,WORTMANNIN,0,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)C)[C@]1(C)c23
480060,tetraethylenepentamine,tetraethylenepentamine,0,NCCNCCNCCNCCN
417,clozapine,clozapine,0,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
731,thioridazine,thioridazine,0,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
1261,haloperidol,haloperidol,0,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
436,chlorpromazine,chlorpromazine,0,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
437,trifluoperazine,trifluoperazine,0,CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
3561557,iloprost,ILOPROST,0,CC#CCC(C)[C@H](O)/C=C/C1[C@H](O)C[C@@H]2C/C(=C\CCCC(=O)O)/C[C@@H]12
411871,oxamic acid,oxamic acid,0,NC(=O)C(O)=O
3188562,W-13,W-13,0,NCCCCNCS(=O)(=O)c1cccc2c(Cl)cccc12
58460,arachidonic acid,arachidonic acid,0,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
411869,oligomycin,oligomycin,0,CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C
1041,prochlorperazine,prochlorperazine,0,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1
907479,quinpirole,quinpirole,0,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@H]21
745,deferoxamine,deferoxamine,0,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
60684,calmidazolium,calmidazolium,0,Clc1ccc(cc1)C(c1ccc(Cl)cc1)[n+]1ccn(CC(OCc2ccc(Cl)cc2Cl)c2ccc(Cl)cc2Cl)c1
1130,fluphenazine,fluphenazine,0,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
1378,dopamine,dopamine,0,NCCc1ccc(O)c(O)c1
3061928,gefitinib,gefitinib,0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4
55531,"1,5-isoquinolinediol","1,5-isoquinolinediol",0,Oc1cccc2c(O)nccc12
545,"4,5-dianilinophthalimide","4,5-dianilinophthalimide",0,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc4ccccc4)cc12
32631,fisetin,fisetin,0,Oc1ccc2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O
52190,butein,butein,0,Oc1ccc(C(=O)\C=C\c2ccc(O)c(O)c2)c(O)c1
50709,HNMPA-(AM)3,HNMPA-(AM)3,0,CC(=O)OCOC(c1ccc2ccccc2c1)P(=O)(OCOC(C)=O)OCOC(C)=O
53811,dimethyloxalylglycine,dimethyloxalylglycine,0,COC(=O)CNC(=O)C(=O)OC
445,3-aminobenzamide,3-aminobenzamide,0,NC(=O)c1cccc(N)c1
409,bucladesine,bucladesine,0,CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3OC(=O)CCC
1210,probucol,probucol,0,CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C
50699,geldanamycin,geldanamycin,0,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
2269,resveratrol,RESVERATROL,0,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
323041,nocodazole,nocodazole,0,COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3cccs3
1352,colchicine,COLCHICINE,0,COc1cc2CC[C@H](NC(=O)C)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC
1095,benserazide,benserazide,0,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
1020,pentamidine,pentamidine,0,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1
1000045,paclitaxel,paclitaxel,0,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C1=O)OC(=O)C)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7
1056,tioguanine,tioguanine,0,Nc1nc2nc[nH]c2c(=S)[nH]1
50765,splitomicin,Splitomicin,0,O=C1CCc2c(O1)ccc1ccccc21
52110,U0125,U0125,0,N\C(Sc1ccccc1)=C(C#N)/C([N+]#[C-])=C(\N)Sc1ccccc1
2069232,butirosin,butirosin,0,NCCC(O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H]3O)[C@H]1O
424,colforsin,colforsin,0,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C
320,rottlerin,ROTTLERIN,0,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c(C(=O)/C=C/c3ccccc3)c4OC(C)(C)C=Cc4c2O)c1O
349,prazosin,prazosin,0,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4ccco4
52420,Y-27632,Y27632,0,C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1
1019,carbamazepine,carbamazepine,0,NC(=O)N1c2ccccc2C=Cc3ccccc13
50140,blebbistatin,blebbistatin,0,Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1
1672,oxaprozin,oxaprozin,0,OC(=O)CCc1nc(c(o1)c2ccccc2)c3ccccc3
3414068,ikarugamycin,ikarugamycin,0,CC[C@@H]1[C@H](C)C[C@@H]2C3CC4CCC(=O)C5=C(O)[C@H](CCCNC(=O)/C=C\C[C@@H]4[C@H]3C=C[C@@H]12)NC5=O
33173,pyrvinium,pyrvinium,0,CN(C)c1ccc2[n+](C)c(\C=C\c3cc(C)n(c3C)-c3ccccc3)ccc2c1
52230,ionomycin,ionomycin,0,C[C@H](CCC(O)=O)C[C@H](C)C[C@H](C)C(=O)CC(=O)[C@H](C)C[C@H](C)C\C=C\[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)C[C@@H]1CC[C@](C)(O1)[C@H]1CC[C@](C)(O1)[C@@H](C)O
55511,depudecin,depudecin,0,C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C
28788,celastrol,celastrol,0,CC1C(=O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@](C)(CC[C@]3(C)CC[C@]12C)C(O)=O
25276,pararosaniline,pararosaniline,0,Nc1cccc(c1)C(c1cccc(N)c1)=C1C=CC(=N)C=C1
1272,clotrimazole,clotrimazole,0,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4
3068804,HC toxin,HC Toxin,0,C[C@@H]1NC(=O)C2CCCN2C(=O)[C@H](CCCCCC(=O)[C@@H]3CO3)NC(=O)[C@H](C)NC1=O
3198425,topiramate,topiramate,0,CC1(C)O[C@@H]2CO[C@@]3(COS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1
1064313,decitabine,decitabine,0,OCC1OC(CC1O)n2cnc(=N)[nH]c2=O
468,vorinostat,vorinostat,0,ONC(=O)CCCCCCC(=O)Nc1ccccc1
3075553,(-)-catechin,catechin,0,O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c3ccc(O)c(O)c3
1001919,demecolcine,demecolcine,0,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c3ccc(OC)c(=O)cc13
3187756,monensin,monensin,0,CC[C@]1(CC[C@@H](O1)[C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@H](O3)[C@@H](C)[C@@H](OC)C(C)C(=O)O)O2)[C@@H]4O[C@H](C[C@@H]4C)[C@H]5O[C@@](O)(CO)[C@H](C)C[C@@H]5C
39088,3-hydroxy-DL-kynurenine,3-hydroxy-(D/L)-kynurenine,0,NC(CC(=O)c1cccc(O)c1N)C(O)=O
980,doxycycline,doxycycline,0,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O
50774,tyrphostin AG-825,tyrphostin AG-825,0,COc1cc(\C=C(/C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O
50746,phenanthridinone,phenanthridinone,0,O=c1[nH]c2ccccc2c2ccccc12
24159,yohimbine,yohimbine,0,COC(=O)C1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
34,DL-PPMP,DL-PPMP,0,CCCCCCCCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c2ccccc2
3103894,cytochalasin B,cytochalasin b,0,C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@@]42OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C\C=C\[C@H]4[C@H](O)C1=C
50147,BW-B70C,BW-B70C,0,CC(\C=C\c1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O
1077,minocycline,minocycline,0,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)N(C)C
3046406,phentolamine,phentolamine,0,Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3
58948,MG-132,MG-132,0,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
50124,tyrphostin AG-1478,tyrphostin AG-1478,0,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
2431,procainamide,procainamide,0,CCN(CC)CCNC(=O)c1ccc(N)cc1
3189187,thioguanosine,thioguanosine,0,Nc1nc(S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
3045196,amoxicillin,amoxicillin,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
705,benfluorex,benfluorex,0,CC(Cc1cccc(c1)C(F)(F)F)NCCOC(=O)c2ccccc2
975,naftidrofuryl,naftidrofuryl ,0,CCN(CC)CCOC(=O)C(CC1CCCO1)Cc2cccc3ccccc23
990,pentoxyverine,pentoxyverine,0,CCN(CC)CCOCCOC(=O)C1(CCCC1)c2ccccc2
1088,clomifene,clomifene,0,CCN(CC)CCOc1ccc(cc1)/C(=C(\Cl)/c2ccccc2)/c3ccccc3
3173242,zoxazolamine,zoxazolamine ,0,Nc1nc2cc(Cl)ccc2o1
3189186,N6-methyladenosine,N6-methyladenosine,0,CNc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
801,chlorprothixene,chlorprothixene,0,CN(C)CC/C=C/1\c2ccccc2Sc3ccc(Cl)cc13
3173633,cefalexin,cefalexin ,0,CC1=C(N2[C@H](SC1)[C@H](NC(=O)C(N)c3ccccc3)C2=O)C(=O)O
1000048,bepridil,bepridil,0,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3
1000105,bezafibrate,bezafibrate,0,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
1351,dequalinium chloride,dequalinium chloride,0,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]3c(C)cc(N)c4ccccc34
1516,tacrine,tacrine ,0,Nc1c2CCCCc2nc3ccccc13
3368,guanfacine,guanfacine ,0,NC(=N)NC(=O)Cc1c(Cl)cccc1Cl
785,ritodrine,ritodrine,0,CC(CC(O)c1ccc(O)cc1)NCc2ccc(O)cc2
1018,dextromethorphan,dextromethorphan,0,COc1ccc2C[C@H]3[C@@H]4CCCC[C@@]4(CCN3C)c2c1
1504,buspirone,buspirone,0,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4
1157,ketoconazole,ketoconazole,0,CC(=O)N1CCN(CC1)c2ccc(OCC3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
3487402,bisoprolol,bisoprolol ,0,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
1001939,flupentixol,flupentixol,0,OCCN1CCN(CC/C=C\2/c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
764,droperidol,droperidol,0,Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)n3c(=O)[nH]c4ccccc34
2873,benzbromarone,benzbromarone,0,CCc1oc2ccccc2c1C(=O)c3cc(Br)c(O)c(Br)c3
2777,clebopride,clebopride ,0,COc1cc(N)c(Cl)cc1C(=O)NC2CCN(Cc3ccccc3)CC2
742,fusidic acid,fusidic acid,0,C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]3(C)C2[C@H](O)C[C@H]4/C(=C(/CCC=C(C)C)\C(=O)O)/[C@H](C[C@@]43C)OC(=O)C
3075213,hesperidin,hesperidin,0,COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2
1000133,testosterone,testosterone,0,C[C@@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C2CC[C@@H]1O
3189308,androsterone,androsterone,0,C[C@@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]2CCC1=O
998,suloctidil,suloctidil,0,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
23287,coralyne,coralyne,0,COc1cc2cc3c4cc(OC)c(OC)cc4cc[n+]3c(C)c2cc1OC
2830,domperidone,domperidone ,0,Clc1ccc2n(C3CCN(CCCn4c(=O)[nH]c5ccccc45)CC3)c(=O)[nH]c2c1
3172974,ouabain,ouabain,0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)C4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)C4CC[C@]3(O)C2)C6=CC(=O)OC6)[C@H](O)[C@H](O)[C@H]1O
25320,arecoline,arecoline,0,COC(=O)C1=CCCN(C)C1
336,anisomycin,Anisomycin,0,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(=O)C)cc1
3069011,carcinine,carcinine,0,NCCC(=O)NCCc1c[nH]cn1
3054850,corticosterone,corticosterone ,0,C[C@@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]2CC[C@@H]1C(=O)CO
2078,fusaric acid,Fusaric acid,0,CCCCc1ccc(nc1)C(=O)O
3189433,lactobionic acid,lactobionic acid ,0,OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)C(=O)O
3189434,cefixime,cefixime,0,Nc1nc(cs1)/C(=N\OCC(=O)O)/C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C
3616726,calcium pantothenate,calcium pantothenate,0,CC(C)(CO)C(O)C(=O)NCCC(=O)O[Ca]OC(=O)CCNC(=O)C(O)C(C)(C)CO
1023517,carbarsone,carbarsone,0,NC(=O)Nc1ccc(cc1)[As](=O)(O)O
1409,carisoprodol,carisoprodol,0,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
3189313,cyanocobalamin,cyanocobalamin ,0,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@H]2N=C1/C(=C/3\N=C(/C=C/4\N=C(/C(=C\5/[C@@H](CCC(=O)N)[C@](C)(CC(=O)N)[C@@]2(C)N5[Co+]C#N)/C)\[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\C(C)(C)[C@@H]3CCC(=O)N)/C)OP(=O)(O)O[C@H]6[C@@H](O)[C@H](O[C@@H]6CO)n7cnc8cc(C)c(C)cc78
41579,SR-95531,SR-95531,0,COc1ccc(cc1)-c1ccc(=N)n(CCCC(O)=O)n1
51004,lumicolchicine,lumicolchicine,0,COC1=C[C@H]2[C@H](C3=C2c2c(CC[C@@H]3NC(C)=O)cc(OC)c(OC)c2OC)C1=O
3069124,metrizamide,metrizamide ,0,CN(C(=O)C)c1c(I)c(NC(=O)C)c(I)c(C(=O)NC2[C@H](O)OC(CO)[C@@H](O)[C@H]2O)c1I
3189436,cefotetan,cefotetan,0,CO[C@]1(NC(=O)C2SC(=C(C(=O)N)C(=O)O)S2)[C@H]3SCC(=C(N3C1=O)C(=O)O)CSc4nnnn4C
24209,dl-alpha tocopherol,dl-alpha-tocopherol,0,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1
360,apigenin,APIGENIN,0,Oc1ccc(cc1)c2cc(=O)c3c(O)cc(O)cc3o2
41556,7-aminocephalosporanic acid,7-Aminocephalosporanic acid,0,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O
1037,cefadroxil,cefadroxil,0,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O
2060276,ginkgolide A,ginkgolide A,0,C[C@@H]1C(=O)OC2[C@H](O)C34[C@@H]5OC(=O)[C@@]4(O[C@@H]6OC(=O)[C@H](O)[C@@]63[C@@H]([C@H]5O)C(C)(C)C)[C@@]12O
36793,lysergol,lysergol,0,CN1C[C@H](CO)C=C2[C@H]1Cc1c[nH]c3cccc2c13
41560,N-acetylmuramic acid,N-acetylmuramic acid,0,C[C@@H](O[C@@H]1[C@H](O)C(CO)O[C@H](O)C1NC(C)=O)C(O)=O
1534,piperine,PIPERINE,0,O=C(/C=C/C=C/c1ccc2OCOc2c1)N3CCCCC3
387,pepstatin,pepstatin ,0,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(=O)O
26880,N-acetyl-L-aspartic acid,N-acetyl-L-aspartic acid,0,CC(=O)N[C@@H](CC(O)=O)C(O)=O
